Year,Month_AR,Month_EN,Building Type_EN,Building Type_AR,  Number of building permits issued by type of building  
2020,نوفمبر,November,Government Buildings,مباني حكومية,1
2020,ديسيمبر,December,Government Buildings,مباني حكومية,1
2020,يناير,January,Others,أخرى,15
2020,فبراير ,February,Others,أخرى,13
2020,مارس,March,Others,أخرى,10
2020,ابريل,April,Others,أخرى,13
2020,مايو ,May,Others,أخرى,8
2020,يونيو,June,Others,أخرى,17
2020,يوليو,July,Others,أخرى,14
2020,اغسطس,August,Others,أخرى,13
2020,سبتمبر,September,Others,أخرى,11
2020,اكتوبر,October,Others,أخرى,5
2020,نوفمبر,November,Others,أخرى,9
2020,ديسيمبر,December,Others,أخرى,12
2021,يناير,January,Residential Villas,فيلا سكنية,234
2021,فبراير ,February,Residential Villas,فيلا سكنية,350
2021,مارس,March,Residential Villas,فيلا سكنية,297
2021,يناير,January,Residential and Commercial Buildings,مباني سكنية وتجارية,4
2021,فبراير ,February,Residential and Commercial Buildings,مباني سكنية وتجارية,4
2021,مارس,March,Residential and Commercial Buildings,مباني سكنية وتجارية,2
2021,يناير,January,Industrial Buildings,مباني صناعية,8
2021,فبراير ,February,Industrial Buildings,مباني صناعية,5
2021,مارس,March,Industrial Buildings,مباني صناعية,15
2021,يناير,January,Government Buildings,مباني حكومية,0
2021,فبراير ,February,Government Buildings,مباني حكومية,2
2021,مارس,March,Government Buildings,مباني حكومية,0
2021,يناير,January,Others,أخرى,49
2021,فبراير ,February,Others,أخرى,42
2021,مارس,March,Others,أخرى,96
